column,file_name,is_valid
ep208_9,sharew6_rel9-0-0_ep.dta,True
ep208_10,sharew6_rel9-0-0_ep.dta,True
ep208_11,sharew6_rel9-0-0_ep.dta,True
ep208_12,sharew6_rel9-0-0_ep.dta,True
ep208_13,sharew6_rel9-0-0_ep.dta,True
ep209e_1,sharew6_rel9-0-0_ep.dta,True
ep209e_2,sharew6_rel9-0-0_ep.dta,True
ep209e_3,sharew6_rel9-0-0_ep.dta,True
ep209e_4,sharew6_rel9-0-0_ep.dta,True
ep209e_5,sharew6_rel9-0-0_ep.dta,True
ep209ub_1,sharew6_rel9-0-0_ep.dta,True
ep209ub_2,sharew6_rel9-0-0_ep.dta,True
ep209ub_3,sharew6_rel9-0-0_ep.dta,True
ep209ub_4,sharew6_rel9-0-0_ep.dta,True
ep209ub_5,sharew6_rel9-0-0_ep.dta,True
ep209v1,sharew6_rel9-0-0_ep.dta,True
ep209v2,sharew6_rel9-0-0_ep.dta,True
ep209v3,sharew6_rel9-0-0_ep.dta,True
ep210_,sharew6_rel9-0-0_ep.dta,True
ep213_1,sharew6_rel9-0-0_ep.dta,True
ep213_2,sharew6_rel9-0-0_ep.dta,True
ep213_3,sharew6_rel9-0-0_ep.dta,True
ep213_4,sharew6_rel9-0-0_ep.dta,True
ep213_5,sharew6_rel9-0-0_ep.dta,True
ep213_6,sharew6_rel9-0-0_ep.dta,True
ep213_7,sharew6_rel9-0-0_ep.dta,True
ep213_8,sharew6_rel9-0-0_ep.dta,True
ep213_9,sharew6_rel9-0-0_ep.dta,True
ep213_10,sharew6_rel9-0-0_ep.dta,True
ep213_11,sharew6_rel9-0-0_ep.dta,True
ep213_12,sharew6_rel9-0-0_ep.dta,True
ep213_13,sharew6_rel9-0-0_ep.dta,True
ep321_,sharew6_rel9-0-0_ep.dta,True
ep322_,sharew6_rel9-0-0_ep.dta,True
ep325_,sharew6_rel9-0-0_ep.dta,True
ep326_,sharew6_rel9-0-0_ep.dta,True
ep328_,sharew6_rel9-0-0_ep.dta,True
ep329_,sharew6_rel9-0-0_ep.dta,True
ep337_,sharew6_rel9-0-0_ep.dta,True
ep609e_1,sharew6_rel9-0-0_ep.dta,True
ep609e_2,sharew6_rel9-0-0_ep.dta,True
ep609e_3,sharew6_rel9-0-0_ep.dta,True
ep609e_4,sharew6_rel9-0-0_ep.dta,True
ep609e_5,sharew6_rel9-0-0_ep.dta,True
ep612_1,sharew6_rel9-0-0_ep.dta,True
ep612_2,sharew6_rel9-0-0_ep.dta,True
ep612_3,sharew6_rel9-0-0_ep.dta,True
ep612_4,sharew6_rel9-0-0_ep.dta,True
ep612_5,sharew6_rel9-0-0_ep.dta,True
ep612_6,sharew6_rel9-0-0_ep.dta,True
ep612_7,sharew6_rel9-0-0_ep.dta,True
ep612_8,sharew6_rel9-0-0_ep.dta,True
ep612_9,sharew6_rel9-0-0_ep.dta,True
ep612_10,sharew6_rel9-0-0_ep.dta,True
ep612_11,sharew6_rel9-0-0_ep.dta,True
ep612_12,sharew6_rel9-0-0_ep.dta,True
ep612_13,sharew6_rel9-0-0_ep.dta,True
ep613_,sharew6_rel9-0-0_ep.dta,True
ep616isco,sharew6_rel9-0-0_ep.dta,True
ep621_,sharew6_rel9-0-0_ep.dta,True
